buytotalprice,carparking,Typeofownership,Facing,Bookingamount,FurnishingStatus
580000,yes, individual,east,2000,Semi furnished
2800000,yes, individual,east,2000,Semi furnished
3350000,yes, individual,east,2000,Semi furnished
685000,yes, individual,east,2000,Semi furnished
825000,yes, individual,east,2000,Semi furnished
550000,yes, individual,east,2000,Semi furnished
719000,yes, individual,east,2000,Semi furnished
500000,yes, individual,east,2000,Semi furnished
1399000,yes, individual,east,2000,Semi furnished
1124900,yes, individual,east,2000,Semi furnished
495000,yes, individual,east,2000,Semi furnished
895000,yes, individual,east,2000,Semi furnished
755000,yes, individual,east,2000,Semi furnished
1350000,yes, individual,east,2000,Semi furnished
864950,yes, individual,east,2000,Semi furnished
1675000,yes, individual,east,2000,Semi furnished
1175000,yes, individual,east,2000,Semi furnished
665000,yes, individual,east,2000,Semi furnished
1899000,yes, individual,east,2000,Semi furnished
1150000,yes, individual,east,2000,Semi furnished
1099999,yes, individual,east,2000,Semi furnished
2225000,yes, individual,east,2000,Semi furnished
1190000,yes, individual,east,2000,Semi furnished
990000,yes, individual,east,2000,Semi furnished
330000,yes, individual,east,2000,Semi furnished
474500,yes, individual,east,2000,Semi furnished
775000,yes, individual,east,2000,Semi furnished
390000,yes, individual,east,2000,Semi furnished
775000,yes,joint,east,2000,Semi furnished
999000,yes,joint,east,2000,Semi furnished
699000,yes,joint,east,2000,Semi furnished
799000,yes,joint,east,2000,Semi furnished
969000,yes,joint,east,2000,Semi furnished
2795000,yes,joint,east,2000,Semi furnished
739900,yes,joint,east,2000,Semi furnished
640000,yes,joint,east,2000,Semi furnished
649000,yes,joint,east,2000,Semi furnished
1799999,yes,joint,east,2000,Semi furnished
2398000,yes,joint,east,2000,Semi furnished
499900,yes,joint,east,2000,Semi furnished
1399999,yes,joint,east,2000,Semi furnished
534900,yes,joint,east,2000,Semi furnished
1200000,yes,joint,east,2000,Semi furnished
650000,yes,joint,east,2000,Semi furnished
2249000,yes,joint,east,2000,Semi furnished
1100000,yes,joint,east,2000,Semi furnished
1350000,yes,joint,east,2000,Semi furnished
1499000,yes,joint,east,2000,Semi furnished
579500,yes,joint,east,2000,Semi furnished
2695000,yes,joint,east,2000,Semi furnished
649000,yes,joint,east,2000,Semi furnished
3895000,yes,joint,east,2000,Semi furnished
829999,yes,joint,east,2000,Semi furnished
2795000,yes,joint,east,2000,Semi furnished
959000,yes,joint,east,2000,Semi furnished
975000,yes,joint,east,2000,Semi furnished
370000,yes,joint,east,2000,Semi furnished
485000,yes,joint,east,2000,Semi furnished
925000,yes,joint,east,2000,Semi furnished
6195000,yes,joint,east,2000,Semi furnished
1400000,yes,joint,east,2000,Semi furnished
659000,yes,joint,east,2000,Semi furnished
1495950,yes,joint,east,2000,Semi furnished
4399000,yes,joint,east,2000,Semi furnished
2195000,yes,joint,east,2000,Semi furnished
1699000,yes,joint,east,2000,Semi furnished
850000,yes,joint,east,2000,Semi furnished
1169000,yes,joint,east,2000,Semi furnished
795000,yes,joint,east,2000,Semi furnished
795000,yes,joint,east,2000,Semi furnished
729005,yes,joint,east,2000,Semi furnished
629900,yes,joint,east,2000,Semi furnished
699900,yes,joint,east,2000,Semi furnished
1995000,yes,joint,east,2000,Semi furnished
1385000,yes,joint,east,2000,Semi furnished
1649900,yes,joint,east,2000,Semi furnished
4950000,yes,joint,east,2000,Semi furnished
900000,yes,joint,east,2000,Semi furnished
1549000,yes,joint,east,2000,Semi furnished
3999999,yes,joint,east,2000,Semi furnished
1050000,yes,joint,east,2000,Semi furnished
2250000,yes,joint,east,2000,Semi furnished
488888,yes,joint,east,2000,Semi furnished
1195000,yes,joint,east,2000,Semi furnished
695000,yes,joint,east,2000,Semi furnished
435000,yes,joint,east,2000,Semi furnished
1300000,yes,joint,east,2000,Semi furnished
650000,yes,joint,east,2000,Semi furnished
1400000,yes,joint,east,2000,Semi furnished
659000,yes,joint,east,2000,Semi furnished
1529000,yes,joint,east,2000,Semi furnished
1199000,yes,joint,east,2000,Semi furnished
565000,yes,joint,east,2000,Semi furnished
3995000,yes,joint,east,2000,Semi furnished
2995000,yes,joint,east,2000,Semi furnished
1450000,yes,joint,east,2000,Semi furnished
899000,yes,joint,east,2000,Semi furnished
979000,yes,joint,east,2000,Semi furnished
1050000,yes,joint,east,2000,Semi furnished
1190000,yes,joint,east,2000,Semi furnished
1095000,yes,joint,east,2000,Semi furnished
1975000,yes,joint,east,2000,Semi furnished
649900,yes,joint,east,2000,Semi furnished
1899000,yes,joint,east,2000,Semi furnished
2349000,yes,joint,east,2000,Semi furnished
724900,yes,joint,east,2000,Semi furnished
799000,yes,joint,east,2000,Semi furnished
949900,yes,joint,east,2000,Semi furnished
375000,yes,joint,east,2000,Semi furnished
1249000,yes,joint,east,2000,Semi furnished
1699000,yes,joint,east,2000,Semi furnished
1100000,yes,joint,east,2000,Semi furnished
2100000,yes,joint,east,2000,Semi furnished
1249000,yes,joint,east,2000,Semi furnished
525000,yes,joint,east,2000,Semi furnished
988800,yes,joint,east,2000,Semi furnished
939000,yes,joint,east,2000,Semi furnished
6990000,yes,joint,east,2000,Semi furnished
1275000,yes,joint,east,2000,Semi furnished
2650000,yes,joint,east,2000,Semi furnished
950000,yes,joint,east,2000,Semi furnished
1425000,yes,joint,east,2000,Semi furnished
1950000,yes,joint,east,2000,Semi furnished
2395000,yes,joint,east,2000,Semi furnished
1150000,yes,joint,east,2000,Semi furnished
500000,yes,joint,east,2000,Semi furnished
635000,yes,joint,east,2000,Semi furnished
1365000,yes,joint,east,2000,Semi furnished
2765000,yes,joint,east,2000,Semi furnished
33995000,yes,joint,east,2000,Semi furnished
539000,yes,joint,east,2000,Semi furnished
3250000,yes,joint,east,2000,Semi furnished
779975,yes,joint,east,2000,Semi furnished
499000,yes,joint,east,2000,Semi furnished
3050000,yes,joint,east,2000,Semi furnished
625000,yes,joint,east,2000,Semi furnished
989000,yes,joint,east,2000,Semi furnished
949000,yes,joint,east,2000,Semi furnished
1350000,yes,joint,east,2000,Semi furnished
1090000,yes,joint,east,2000,Semi furnished
1350000,yes,joint,east,2000,Semi furnished
1150000,yes,joint,east,2000,Semi furnished
4300000,yes,joint,east,2000,Semi furnished
2175000,yes,joint,east,2000,Semi furnished
722500,yes,joint,east,2000,Semi furnished
560000,yes,joint,east,2000,Semi furnished
1999999,yes,joint,east,2000,Semi furnished
1350000,yes,joint,east,2000,Semi furnished
1350000,yes,joint,east,2000,Semi furnished
1478000,yes,joint,east,2000,Semi furnished
2978000,yes,joint,east,2000,Semi furnished
3395000,yes,joint,east,2000,Semi furnished
729900,yes,joint,east,2000,Semi furnished
1300000,yes,joint,east,2000,Semi furnished
1259000,yes,joint,east,2000,Semi furnished
350000,yes,joint,east,2000,Semi furnished
895000,yes,joint,east,2000,Semi furnished
1999900,yes,joint,east,2000,Semi furnished
725000,yes,joint,east,2000,Semi furnished
715000,yes,joint,east,2000,Semi furnished
485000,yes,joint,east,2000,Semi furnished
1199000,yes,joint,east,2000,Semi furnished
950000,yes,joint,east,2000,Semi furnished
790000,yes,joint,east,2000,Semi furnished
3995000,yes,joint,east,2000,Semi furnished
490000,yes,joint,east,2000,Semi furnished
439000,yes,joint,east,2000,Semi furnished
849000,yes,joint,east,2000,Semi furnished
999000,yes,joint,east,2000,Semi furnished
1099000,yes,joint,east,2000,Semi furnished
729000,yes,joint,east,2000,Semi furnished
550000,yes,joint,east,2000,Semi furnished
1299000,yes,joint,east,2000,Semi furnished
440000,yes,joint,east,2000,Semi furnished
1590000,yes,joint,east,2000,Semi furnished
620000,yes,joint,east,2000,Semi furnished
999900,yes,joint,east,2000,Semi furnished
1199900,yes,joint,east,2000,Semi furnished
549000,yes,joint,east,2000,Semi furnished
1049000,yes,joint,east,2000,Semi furnished
615000,yes,joint,east,2000,Semi furnished
1125000,yes,joint,east,2000,Semi furnished
1350000,yes,joint,east,2000,Semi furnished
799000,yes,joint,east,2000,Semi furnished
949900,yes,joint,east,2000,Semi furnished
375000,yes,joint,east,2000,Semi furnished
1249000,yes,joint,east,2000,Semi furnished
1699000,yes,joint,east,2000,Semi furnished
1100000,yes,joint,east,2000,Semi furnished
2100000,yes,joint,east,2000,Semi furnished
1249000,yes,joint,east,2000,Semi furnished
525000,yes,joint,east,2000,Semi furnished
299000,yes,joint,east,2000,Semi furnished
1588000,yes,joint,east,2000,Semi furnished
245000,yes,joint,east,2000,Semi furnished
945000,yes,joint,east,2000,Semi furnished
775000,yes,joint,east,2000,Semi furnished
1020000,yes,joint,east,2000,Semi furnished
1175000,yes,joint,east,2000,Semi furnished
975000,yes,joint,east,2000,Semi furnished
899000,yes,joint,east,2000,Semi furnished
529000,yes,joint,east,2000,Semi furnished
615000,yes,joint,east,2000,Semi furnished
2595000,yes,joint,east,2000,Semi furnished
2180000,yes,joint,east,2000,Semi furnished
685000,yes,joint,east,2000,Semi furnished
1099000,yes,joint,east,2000,Semi furnished
997500,yes,joint,east,2000,Semi furnished
1375000,yes,joint,east,2000,Semi furnished
399000,yes,joint,east,2000,Semi furnished
2400000,yes,joint,east,2000,Semi furnished
525000,yes,joint,east,2000,Semi furnished
889000,yes,joint,east,2000,Semi furnished
1649900,yes,joint,east,2000,Semi furnished
2295000,yes,joint,east,2000,Semi furnished
1589000,yes,joint,east,2000,Semi furnished
2750000,yes,joint,east,2000,Semi furnished
988800,yes,joint,east,2000,Semi furnished
939000,yes,joint,east,2000,Semi furnished
6990000,yes,joint,east,2000,Semi furnished
1275000,yes,joint,east,2000,Semi furnished
2650000,yes,joint,east,2000,Semi furnished
950000,yes,joint,east,2000,Semi furnished
1425000,yes,joint,east,2000,Semi furnished
1950000,yes,joint,east,2000,Semi furnished
2395000,yes,joint,east,2000,Semi furnished
1150000,yes,joint,east,2000,Semi furnished
500000,yes,joint,east,2000,Semi furnished
635000,yes,joint,east,2000,Semi furnished
1365000,yes,joint,east,2000,Semi furnished
2765000,yes,joint,east,2000,Semi furnished
33995000,yes,joint,east,2000,Semi furnished
539000,yes,joint,east,2000,Semi furnished
3250000,yes,joint,east,2000,Semi furnished
779975,yes,joint,east,2000,Semi furnished
499000,yes,joint,east,2000,Semi furnished
3050000,yes,joint,east,2000,Semi furnished
625000,yes,joint,east,2000,Semi furnished
989000,yes,joint,east,2000,Semi furnished
949000,yes,joint,east,2000,Semi furnished
1350000,yes,joint,east,2000,Semi furnished
1090000,yes,joint,east,2000,Semi furnished
1350000,yes,joint,east,2000,Semi furnished
1150000,yes,joint,east,2000,Semi furnished
4300000,yes,joint,east,2000,Semi furnished
2175000,yes,joint,east,2000,Semi furnished
722500,yes,joint,east,2000,Semi furnished
560000,yes,joint,east,2000,Semi furnished
1999999,yes,joint,east,2000,Semi furnished
1350000,yes,joint,east,2000,Semi furnished
1350000,yes,joint,east,2000,Semi furnished
1478000,yes,joint,east,2000,Semi furnished
2978000,yes,joint,east,2000,Semi furnished
3395000,yes,joint,east,2000,Semi furnished
729900,yes,joint,east,2000,Semi furnished
1300000,yes,joint,east,2000,Semi furnished
1259000,yes,joint,east,2000,Semi furnished
350000,yes,joint,east,2000,Semi furnished
895000,yes,joint,east,2000,Semi furnished
1999900,yes,joint,east,2000,Semi furnished
725000,yes,joint,east,2000,Semi furnished
715000,yes,joint,east,2000,Semi furnished
325000,yes,joint,east,2000,Semi furnished
276000,yes,joint,east,2000,Semi furnished
525000,yes,joint,east,2000,Semi furnished
269000,yes,joint,east,2000,Semi furnished
799000,yes,joint,east,2000,Semi furnished
849900,yes,joint,east,2000,Semi furnished
270000,yes,joint,east,2000,Semi furnished
199000,yes,joint,east,2000,Semi furnished
219000,yes,joint,east,2000,Semi furnished
359900,yes,joint,east,2000,Semi furnished
240000,yes,joint,east,2000,Semi furnished
319900,yes,joint,east,2000,Semi furnished
299900,yes,joint,east,2000,Semi furnished
279900,yes,joint,east,2000,Semi furnished
475000,yes,joint,east,2000,Semi furnished
225000,yes,joint,east,2000,Semi furnished
450000,yes,joint,east,2000,Semi furnished
425000,yes,joint,east,2000,Semi furnished
489900,yes,joint,east,2000,Semi furnished
450000,yes,joint,east,2000,Semi furnished
319000,yes,joint,east,2000,Semi furnished
385000,yes,joint,east,2000,Semi furnished
412000,yes,joint,east,2000,Semi furnished
244900,yes,joint,east,2000,Semi furnished
429900,yes,joint,east,2000,Semi furnished
230000,yes,joint,east,2000,Semi furnished
400000,yes,joint,east,2000,Semi furnished
299900,yes,joint,east,2000,Semi furnished
775000,yes,joint,east,2000,Semi furnished
425000,yes,joint,east,2000,Semi furnished
329000,yes,joint,east,2000,Semi furnished
350000,yes,joint,east,2000,Semi furnished
415000,yes,joint,east,2000,Semi furnished
160000,yes,joint,east,2000,Semi furnished
199900,yes,joint,east,2000,Semi furnished
375000,yes,joint,east,2000,Semi furnished
255900,yes,joint,east,2000,Semi furnished
579000,yes,joint,east,2000,Semi furnished
419900,yes,joint,east,2000,Semi furnished
330000,yes,joint,east,2000,Semi furnished
339900,yes,joint,east,2000,Semi furnished
339900,yes,joint,east,2000,Semi furnished
279000,yes,joint,east,2000,Semi furnished
375000,yes,joint,east,2000,Semi furnished
495000,yes,joint,east,2000,Semi furnished
1100000,yes,joint,east,2000,Semi furnished
255000,yes,joint,east,2000,Semi furnished
239900,yes,joint,east,2000,Semi furnished
249900,yes,joint,east,2000,Semi furnished
279900,yes,joint,east,2000,Semi furnished
269900,yes,joint,east,2000,Semi furnished
259900,yes,joint,east,2000,Semi furnished
525000,yes,joint,east,2000,Semi furnished
410000,yes,joint,east,2000,Semi furnished
235000,yes,joint,east,2000,Semi furnished
350000,yes,joint,east,2000,Semi furnished
239900,yes,joint,east,2000,Semi furnished
485000,yes,joint,east,2000,Semi furnished
250000,yes,joint,east,2000,Semi furnished
825000,yes,joint,east,2000,Semi furnished
347500,yes,joint,east,2000,Semi furnished
309900,yes,joint,east,2000,Semi furnished
575000,yes,joint,east,2000,Semi furnished
485000,yes,joint,east,2000,Semi furnished
475000,yes,joint,east,2000,Semi furnished
1095000,yes,joint,east,2000,Semi furnished
285000,yes,joint,east,2000,Semi furnished
319900,yes,joint,east,2000,Semi furnished
329900,yes,joint,east,2000,Semi furnished
324900,yes,joint,east,2000,Semi furnished
234997,yes,joint,east,2000,Semi furnished
379900,yes,joint,east,2000,Semi furnished
449500,yes,joint,east,2000,Semi furnished
555000,yes,joint,east,2000,Semi furnished
280000,yes,joint,east,2000,Semi furnished
595000,yes,joint,east,2000,Semi furnished
299900,yes,joint,east,2000,Semi furnished
339500,yes,joint,east,2000,Semi furnished
599000,yes,joint,east,2000,Semi furnished
349000,yes,joint,east,2000,Semi furnished
290000,yes,joint,east,2000,Semi furnished
415000,yes,joint,east,2000,Semi furnished
578900,yes,joint,east,2000,Semi furnished
415000,yes,joint,east,2000,Semi furnished
162000,yes,joint,east,2000,Semi furnished
649000,yes,joint,east,2000,Semi furnished
2200000,yes,joint,east,2000,Semi furnished
314900,yes,joint,east,2000,Semi furnished
160000,yes,joint,east,2000,Semi furnished
335000,yes,joint,east,2000,Semi furnished
331500,yes,joint,east,2000,Semi furnished
950000,yes,joint,east,2000,Semi furnished
625000,yes,joint,east,2000,Semi furnished
279900,yes,joint,east,2000,Semi furnished
379000,yes,joint,east,2000,Semi furnished
1299000,yes,joint,east,2000,Semi furnished
374900,yes,joint,east,2000,Semi furnished
520000,yes,joint,east,2000,Semi furnished
859900,yes,joint,east,2000,Semi furnished
649900,yes,joint,east,2000,Semi furnished
389900,yes,joint,east,2000,Semi furnished
247000,yes,joint,east,2000,Semi furnished
1050000,yes,joint,east,2000,Semi furnished
40000,yes,joint,east,2000,Semi furnished
244900,yes,joint,east,2000,Semi furnished
100000,yes,joint,east,2000,Semi furnished
139900,yes,joint,east,2000,Semi furnished
1375000,yes,joint,east,2000,Semi furnished
1200000,yes,joint,east,2000,Semi furnished
179900,yes,joint,east,2000,Semi furnished
550000,yes,joint,east,2000,Semi furnished
260000,yes,joint,east,2000,Semi furnished
264999,yes,joint,east,2000,Semi furnished
495000,yes,joint,east,2000,Semi furnished
419998,yes,joint,east,2000,Semi furnished
474900,yes,joint,east,2000,Semi furnished
425000,yes,joint,east,2000,Semi furnished
305000,yes,joint,east,2000,Semi furnished
489777,yes,joint,east,2000,Semi furnished
285000,yes,joint,east,2000,Semi furnished
204900,yes,joint,east,2000,Semi furnished
280000,yes,joint,east,2000,Semi furnished
799000,yes,joint,east,2000,Semi furnished
1150000,yes,joint,east,2000,Semi furnished
559900,yes,joint,east,2000,Semi furnished
438900,yes,joint,east,2000,Semi furnished
729500,yes,joint,east,2000,Semi furnished
675000,yes,joint,east,2000,Semi furnished
173000,yes,joint,east,2000,Semi furnished
749900,yes,joint,east,2000,Semi furnished
299000,yes,joint,east,2000,Semi furnished
849000,yes,joint,east,2000,Semi furnished
175000,yes,joint,east,2000,Semi furnished
429000,yes,joint,east,2000,Semi furnished
609000,yes,joint,east,2000,Semi furnished
269900,yes,joint,east,2000,Semi furnished
369000,yes,joint,east,2000,Semi furnished
930000,yes,joint,east,2000,Semi furnished
475000,yes,joint,east,2000,Semi furnished
329000,yes,joint,east,2000,Semi furnished
315000,yes,joint,east,2000,Semi furnished
819000,yes,joint,east,2000,Semi furnished
585000,yes,joint,east,2000,Semi furnished
559900,yes,joint,east,2000,Semi furnished
634888,yes,joint,east,2000,Semi furnished
550000,yes,joint,east,2000,Semi furnished
299900,yes,joint,east,2000,Semi furnished
425500,yes,joint,east,2000,Semi furnished
6900000,yes,joint,east,2000,Semi furnished
1295000,yes,joint,east,2000,Semi furnished
365000,yes,joint,east,2000,Semi furnished
285000,yes,joint,east,2000,Semi furnished
534900,yes,property ownership by nomination,east,2000,Semi furnished
499000,yes,property ownership by nomination,east,2000,Semi furnished
247000,yes,property ownership by nomination,east,2000,Semi furnished
246600,yes,property ownership by nomination,east,2000,Semi furnished
949900,yes,property ownership by nomination,east,2000,Semi furnished
729000,yes,property ownership by nomination,east,2000,Semi furnished
275000,yes,property ownership by nomination,east,2000,Semi furnished
399995,yes,property ownership by nomination,east,2000,Semi furnished
400000,yes,property ownership by nomination,east,2000,Semi furnished
130000,yes,property ownership by nomination,east,2000,Semi furnished
275000,yes,property ownership by nomination,east,2000,Semi furnished
425000,yes,property ownership by nomination,east,2000,Semi furnished
515000,yes,property ownership by nomination,east,1500,Semi furnished
639000,yes,property ownership by nomination,east,1500,Semi furnished
239000,yes,property ownership by nomination,east,1500,Semi furnished
839000,yes,property ownership by nomination,east,1500,Semi furnished
350000,yes,property ownership by nomination,east,1500,Semi furnished
157000,yes,property ownership by nomination,east,1500,Semi furnished
1595000,yes,property ownership by nomination,east,1500,Semi furnished
639900,yes,property ownership by nomination,east,1500,Semi furnished
325000,yes,property ownership by nomination,east,1500,Semi furnished
379000,yes,property ownership by nomination,east,1500,Semi furnished
599000,yes,property ownership by nomination,east,1500,Semi furnished
739000,yes,property ownership by nomination,east,1500,Semi furnished
299900,yes,property ownership by nomination,east,1500,Semi furnished
445000,yes,property ownership by nomination,east,1500,Semi furnished
315000,yes,property ownership by nomination,east,1500,Semi furnished
1695000,yes,property ownership by nomination,east,1500,Semi furnished
325000,yes,property ownership by nomination,east,1500,Semi furnished
469000,yes,property ownership by nomination,east,1500,Semi furnished
319900,yes,property ownership by nomination,east,1500,Semi furnished
449999,yes,property ownership by nomination,east,1500,Semi furnished
650000,yes,property ownership by nomination,east,1500,Semi furnished
549900,yes,property ownership by nomination,east,1500,Semi furnished
1199900,yes,property ownership by nomination,east,1500,Semi furnished
415000,yes,property ownership by nomination,east,1500,Semi furnished
2088000,yes,property ownership by nomination,east,1500,Semi furnished
415000,yes,property ownership by nomination,east,1500,Semi furnished
475000,yes,property ownership by nomination,east,1500,Semi furnished
375000,yes,property ownership by nomination,east,1500,Semi furnished
545000,yes,property ownership by nomination,east,1500,Semi furnished
424900,yes,property ownership by nomination,east,1500,Semi furnished
325000,yes,property ownership by nomination,east,1500,Semi furnished
429900,yes,property ownership by nomination,east,1500,Semi furnished
599900,yes,property ownership by nomination,east,1500,Semi furnished
519900,yes,property ownership by nomination,east,1500,Semi furnished
410000,yes,property ownership by nomination,east,1500,Semi furnished
215000,yes,property ownership by nomination,east,1500,Semi furnished
365000,yes,property ownership by nomination,east,1500,Semi furnished
879000,yes,property ownership by nomination,east,1500,Semi furnished
295000,yes,property ownership by nomination,east,1500,Semi furnished
580000,yes,property ownership by nomination,east,1500,Semi furnished
549000,yes,property ownership by nomination,east,1500,Semi furnished
597000,yes,property ownership by nomination,east,1500,Semi furnished
495000,yes,property ownership by nomination,east,1500,Semi furnished
789000,yes,property ownership by nomination,east,1500,Semi furnished
789000,yes,property ownership by nomination,east,1500,Semi furnished
797000,yes,property ownership by nomination,east,1500,Semi furnished
479000,yes,property ownership by nomination,east,1500,Semi furnished
499700,yes,property ownership by nomination,east,1500,Semi furnished
624900,yes,property ownership by nomination,east,1500,Semi furnished
598000,yes,property ownership by nomination,east,1500,Semi furnished
699000,yes,property ownership by nomination,east,1500,Semi furnished
2425000,yes,property ownership by nomination,east,1500,Semi furnished
985000,yes,property ownership by nomination,east,1500,Semi furnished
625000,yes,property ownership by nomination,east,1500,Semi furnished
519000,yes,property ownership by nomination,east,1500,Semi furnished
825000,yes,property ownership by nomination,east,1500,Semi furnished
1695000,yes,property ownership by nomination,east,1500,Semi furnished
725000,yes,property ownership by nomination,east,1500,Semi furnished
899500,yes,property ownership by nomination,east,1500,Semi furnished
1798000,yes,property ownership by nomination,east,1500,Semi furnished
1049000,yes,property ownership by nomination,east,1500,Semi furnished
850000,yes,property ownership by nomination,east,1500,Semi furnished
795000,yes,property ownership by nomination,east,1500,Semi furnished
1195000,yes,property ownership by nomination,east,1500,Semi furnished
1350000,yes,property ownership by nomination,east,1500,Semi furnished
1749000,yes,property ownership by nomination,east,1500,Semi furnished
2300000,yes,property ownership by nomination,east,1500,Semi furnished
1450000,yes,property ownership by nomination,east,1500,Semi furnished
2375000,yes,property ownership by nomination,east,1500,Semi furnished
2199000,yes,property ownership by nomination,east,1500,Semi furnished
895000,yes,property ownership by nomination,east,1500,Semi furnished
1450000,yes,property ownership by nomination,east,1500,Semi furnished
785000,yes,property ownership by nomination,east,1500,Semi furnished
2700000,yes,property ownership by nomination,east,1500,Semi furnished
625000,yes,property ownership by nomination,east,1500,Semi furnished
949000,yes,property ownership by nomination,east,1500,Semi furnished
625000,yes,property ownership by nomination,east,1500,Semi furnished
450000,yes,property ownership by nomination,east,1500,Semi furnished
1185000,yes,property ownership by nomination,east,1500,Semi furnished
959000,yes,property ownership by nomination,east,1500,Semi furnished
765000,yes,property ownership by nomination,east,1500,Semi furnished
749000,yes,property ownership by nomination,east,1500,Semi furnished
1298000,yes,property ownership by nomination,east,1500,Semi furnished
725000,yes,property ownership by nomination,east,1500,Semi furnished
725000,yes,property ownership by nomination,east,1500,Semi furnished
1995000,yes,property ownership by nomination,east,1500,Semi furnished
660000,yes,property ownership by nomination,east,1500,Semi furnished
1400000,yes,property ownership by nomination,east,1500,Semi furnished
1300000,yes,property ownership by nomination,east,1500,Semi furnished
1185000,yes,property ownership by nomination,east,1500,Semi furnished
1650000,yes,property ownership by nomination,east,1500,Semi furnished
1095000,yes,property ownership by nomination,east,1500,Semi furnished
1240800,yes,property ownership by nomination,east,1500,Semi furnished
1100000,yes,property ownership by nomination,east,1500,Semi furnished
1249000,yes,property ownership by nomination,east,1500,Semi furnished
1299000,yes,property ownership by nomination,east,1500,Semi furnished
995000,yes,property ownership by nomination,east,1500,Semi furnished
1495000,yes,property ownership by nomination,east,1500,Semi furnished
899000,yes,property ownership by nomination,east,1500,Semi furnished
1395000,yes,property ownership by nomination,east,1500,Semi furnished
1395000,yes,property ownership by nomination,east,1500,Semi furnished
1295000,yes,property ownership by nomination,east,1500,Semi furnished
1349000,yes,property ownership by nomination,east,1500,Semi furnished
869000,yes,property ownership by nomination,east,1500,Semi furnished
759000,yes,property ownership by nomination,east,1500,Semi furnished
1195000,yes,property ownership by nomination,east,1500,Semi furnished
1600000,yes,property ownership by nomination,east,1500,Semi furnished
995000,yes,property ownership by nomination,east,1500,Semi furnished
2395000,yes,property ownership by nomination,east,1500,Semi furnished
2595000,yes,property ownership by nomination,east,1500,Semi furnished
1195000,yes,property ownership by nomination,east,1500,Semi furnished
499000,yes,property ownership by nomination,east,1500,Semi furnished
898000,yes,property ownership by nomination,east,1500,Semi furnished
520000,yes,property ownership by nomination,east,1500,Semi furnished
1099000,yes,property ownership by nomination,east,1500,Semi furnished
1795000,yes,property ownership by nomination,east,1500,Semi furnished
1199000,yes,property ownership by nomination,east,1500,Semi furnished
519701,yes,property ownership by nomination,east,1500,Semi furnished
845000,yes,property ownership by nomination,east,1500,Semi furnished
2995000,yes,property ownership by nomination,east,1500,Semi furnished
749000,yes,property ownership by nomination,east,1500,Semi furnished
1269000,yes,property ownership by nomination,east,1500,Semi furnished
1399000,yes,property ownership by nomination,east,1500,Semi furnished
1895000,yes,property ownership by nomination,east,1500,Semi furnished
650000,yes,property ownership by nomination,east,1500,Semi furnished
3750000,yes,property ownership by nomination,east,1500,Semi furnished
1195000,yes,property ownership by nomination,east,1500,Semi furnished
544900,yes,property ownership by nomination,east,1500,Semi furnished
1599000,yes,property ownership by nomination,east,1500,Semi furnished
1098000,yes,property ownership by nomination,east,1500,Semi furnished
999000,yes,property ownership by nomination,east,1500,Semi furnished
