CarpetArea,Pricepersqft,priceinr,Status,YearBuilt,floor
3630,606,50371,Under Construction,20019,3
690,461,38319,Under Construction,20019,3
1780,709,58933,Under Construction,20019,3
1780,445,36989,Under Construction,20019,3
2500,1024,85115,Under Construction,20019,3
5978,598,49706,Under Construction,20019,3
811,660,54860,Under Construction,20019,3
7022,657,54610,Under Construction,20019,3
1026,1071,89022,Under Construction,20019,3
6002,471,39150,Under Construction,20019,3
1684,502,41727,Under Construction,20019,3
6694,482,40064,Under Construction,20019,3
3258,351,29176,Under Construction,20019,3
3980,749,62257,Under Construction,20019,2
1460,644,53530,Under Construction,20019,2
0,317,26350,Under Construction,20019,2
1717,827,68741,Under Construction,20019,2
6,557,46298,Under Construction,20019,2
720,616,51202,Under Construction,20019,2
1538,676,56190,Under Construction,20019,2
9106,924,76803,Under Construction,20019,2
2228,601,49956,Under Construction,20019,2
0,441,36656,Under Construction,20019,2
770,834,69323,Under Construction,20019,2
3416,616,51202,Under Construction,20019,2
8233,518,43057,Under Construction,20019,2
815,588,48875,Under Construction,20019,2
1698,503,41810,Under Construction,20019,2
1269,879,73063,Under Construction,20019,2
2000,504,41893,Under Construction,20019,2
6000,431,35825,Under Construction,20019,2
1795,515,42807,Under Construction,20019,2
6001,619,51452,Under Construction,20019,2
1959,762,63338,Under Construction,20019,2
0,607,50454,Under Construction,20019,2
2309,1502,124847,Under Construction,20019,2
0,803,66746,Under Construction,20019,2
1244,1027,85365,Under Construction,20019,2
5139,555,46132,Under Construction,20019,2
2402,841,69904,Under Construction,20019,2
8324,732,60844,Under Construction,20019,2
856,688,57187,Under Construction,20019,2
1852,1124,93427,Under Construction,20019,2
5973,601,49956,Under Construction,20019,2
3540,688,57187,Under Construction,20019,2
0,814,67660,Under Construction,20019,2
1290,471,39150,Under Construction,20019,2
3767,485,40314,Under Construction,20019,2
7185,793,65915,Under Construction,20019,2
826,933,77551,Under Construction,20019,2
905,963,80045,Under Construction,20019,2
1986,784,65167,Under Construction,20019,2
7915,765,63587,Under Construction,20019,2
5400,607,50454,Under Construction,20019,2
1,775,64418,Under Construction,20019,2
1804,858,71317,Under Construction,20019,2
6505,528,43888,Under Construction,20019,2
800,414,34412,Under Construction,20019,2
2262,627,52117,Under Construction,20019,2
1,725,60262,Under Construction,20019,2
5425,504,41893,Under Construction,20019,2
6478,710,59016,Under Construction,20019,2
1700,562,46714,Under Construction,20019,2
6763,635,52782,Under Construction,20019,2
2362,692,57520,Under Construction,20019,2
0,620,51535,Under Construction,20019,2
1462,401,33332,Under Construction,20019,2
1538,243,20199,Under Construction,20019,2
1538,712,59182,Under Construction,20019,2
935,534,44387,Under Construction,20019,2
1575,494,41062,Under Construction,20019,2
972,1413,117449,Under Construction,20019,2
1485,880,73146,Under Construction,20019,2
1356,789,65582,Under Construction,20019,2
4315,744,61842,Under Construction,20019,2
1296,280,23274,Under Construction,20019,2
5321,1687,140224,Under Construction,20019,2
1430,972,80793,Under Construction,20019,2
4798,610,50704,Under Construction,20019,2
1710,550,45716,Under Construction,20019,2
1033,773,64252,Under Construction,20019,2
1556,610,50704,Under Construction,20019,2
596,629,52283,Under Construction,20019,2
1591,785,65250,Under Construction,20019,2
1951,871,72398,Under Construction,20019,2
1546,712,59182,Under Construction,20019,2
2035,1032,85780,Under Construction,20019,2
1671,747,62091,Under Construction,20019,2
950,553,45966,Under Construction,20019,2
1349,733,60927,Under Construction,20019,2
989,949,78881,Under Construction,20019,2
6832,1023,85032,Under Construction,20019,2
1330,959,79713,Under Construction,20019,2
1685,1573,130748,Under Construction,20019,2
2044,465,38651,Under Construction,20019,2
1531,931,77385,Under Construction,20019,2
1363,1431,118945,Under Construction,20019,2
2012,1190,98913,Under Construction,20019,2
1375,836,69489,Under Construction,20019,2
661,756,62839,Under Construction,20019,2
638,995,82705,Under Construction,20019,2
2599,525,43638,Under Construction,20019,2
2765,1000,83120,Under Construction,20019,2
14768,2302,191343,Under Construction,20019,2
791,681,56605,Under Construction,20019,2
2579,1260,104732,Under Construction,20019,2
1392,560,46548,Under Construction,20019,2
817,611,50787,Under Construction,20019,2
5412,564,46880,Under Construction,20019,2
1036,603,50122,Under Construction,20019,2
1191,830,68990,Under Construction,20019,2
1538,617,51286,Under Construction,20019,2
1572,859,71401,Under Construction,20019,2
1743,625,51950,Under Construction,20019,2
1508,895,74393,Under Construction,20019,2
1227,937,77884,Under Construction,20019,2
4795,897,74559,Under Construction,20019,2
3125,696,57852,Under Construction,20019,2
1291,560,46548,Under Construction,20019,2
1458,746,62008,Under Construction,20019,2
2922,684,56855,Under Construction,20019,2
1810,746,62008,Under Construction,20019,2
1581,854,70985,Under Construction,20019,2
1286,1149,95505,Under Construction,20019,2
1996,1492,124016,Under Construction,20019,2
3740,908,75473,Under Construction,20019,2
1427,511,42475,Under Construction,20019,2
1680,774,64335,Under Construction,20019,2
1777,708,58849,Under Construction,20019,2
473,740,61509,Under Construction,20019,2
1100,814,67660,Under Construction,20019,2
2522,793,65915,Under Construction,20019,2
817,887,73728,Under Construction,20019,2
1072,667,55442,Under Construction,20019,2
288,1684,139975,Under Construction,20019,2
1750,685,56938,Under Construction,20019,2
1052,903,75058,Under Construction,20019,2
879,899,74725,Under Construction,20019,2
5303,753,62590,Under Construction,20019,2
882,556,46215,Under Construction,20019,2
780,563,46797,Under Construction,20019,2
1267,670,55691,Under Construction,20019,2
900,1110,92264,Under Construction,20019,2
1346,816,67826,Under Construction,20019,2
1102,662,55026,Under Construction,20019,2
768,716,59514,Under Construction,20019,2
1910,680,56522,Under Construction,20019,2
818,538,44719,Under Construction,20019,2
2518,631,52449,Under Construction,20019,2
831,746,62008,Under Construction,20019,2
1000,1000,83120,Under Construction,20019,2
1431,839,69738,Under Construction,20019,2
906,606,50371,Under Construction,20019,2
2080,504,41893,Under Construction,20019,2
815,755,62756,Under Construction,20019,2
1619,695,57769,Under Construction,20019,2
1902,710,59016,Under Construction,20019,2
1498,918,76305,Under Construction,20019,2
1033,773,64252,Under Construction,20019,2
1556,610,50704,Under Construction,20019,2
596,629,52283,Under Construction,20019,2
1591,785,65250,Under Construction,20019,2
1951,871,72398,Under Construction,20019,2
1546,712,59182,Under Construction,20019,2
2035,1032,85780,Under Construction,20019,2
1671,747,62091,Under Construction,20019,2
950,553,45966,Under Construction,20019,2
378,791,65748,Under Construction,20019,2
2155,737,61260,Under Construction,20019,2
2280,107,8894,Under Construction,20019,2
1470,643,53447,Under Construction,20019,2
1417,547,45467,Under Construction,20019,2
1428,714,59348,Under Construction,20019,2
1355,867,72066,Under Construction,20019,2
1629,599,49789,Under Construction,20019,2
1302,690,57353,Under Construction,20019,2
882,600,49872,Under Construction,20019,2
735,837,69572,Under Construction,20019,2
3214,807,67078,Under Construction,20019,2
2861,762,63338,Under Construction,20019,2
741,924,76803,Under Construction,20019,2
1520,723,60096,Under Construction,20019,2
1260,792,65832,Under Construction,20019,2
2158,637,52948,Under Construction,20019,2
818,488,40563,Under Construction,20019,2
2396,1002,83287,Under Construction,20019,2
882,595,49457,Under Construction,20019,2
1453,612,50870,Under Construction,20019,2
2360,699,58101,Under Construction,20019,2
1876,1223,101656,Under Construction,20019,2
1848,860,71484,Under Construction,20019,2
2319,1186,98581,Under Construction,20019,2
1349,733,60927,Under Construction,20019,2
989,949,78881,Under Construction,20019,2
6832,1023,85032,Under Construction,20019,2
1330,959,79713,Under Construction,20019,2
1685,1573,130748,Under Construction,20019,2
1453,746,62008,Under Construction,20019,2
2044,465,38651,Under Construction,20019,2
1531,931,77385,Under Construction,20019,2
1363,1431,118945,Under Construction,20019,2
2012,1190,98913,Under Construction,20019,2
1375,836,69489,Under Construction,20019,2
661,756,62839,Under Construction,20019,2
638,995,82705,Under Construction,20019,2
2599,525,43638,Under Construction,20019,2
2765,1000,83120,Under Construction,20019,2
14768,2302,191343,Under Construction,20019,2
791,681,56605,Under Construction,20019,2
2579,1260,104732,Under Construction,20019,2
1392,560,46548,Under Construction,20019,2
817,611,50787,Under Construction,20019,2
5412,564,46880,Under Construction,20019,2
1036,603,50122,Under Construction,20019,2
1191,830,68990,Under Construction,20019,5
1538,617,51286,Under Construction,20019,5
1572,859,71401,Under Construction,20019,5
1743,625,51950,Under Construction,20019,5
1508,895,74393,Under Construction,20019,5
1227,937,77884,Under Construction,20019,5
4795,897,74559,Under Construction,20019,5
3125,696,57852,Under Construction,20019,5
1291,560,46548,Under Construction,20019,5
858,653,54278,Under Construction,20019,5
2922,684,56855,Under Construction,20019,5
1810,746,62008,Under Construction,20019,5
1581,854,70985,Under Construction,20019,5
1286,1149,95505,Under Construction,20019,5
1996,1492,124016,Under Construction,20019,5
3740,908,75473,Under Construction,20019,5
1427,511,42475,Under Construction,20019,5
1680,774,64335,Under Construction,20019,5
1777,708,58849,Under Construction,20019,5
473,740,61509,Under Construction,20019,5
1100,814,67660,Under Construction,20019,5
2522,793,65915,Under Construction,20019,5
817,887,73728,Under Construction,20019,5
579,477,39649,Under Construction,20019,5
2096,250,20780,Under Construction,20019,5
1146,235,19534,Under Construction,20019,5
2001,399,33165,Under Construction,20019,5
2625,324,26931,Under Construction,20019,5
689,392,32584,Under Construction,20019,5
484,411,34163,Under Construction,20019,5
636,344,28594,Under Construction,20019,5
1115,323,26848,Under Construction,20019,5
672,357,29674,Under Construction,20019,5
889,360,29924,Under Construction,20019,5
994,302,25103,Under Construction,20019,5
876,320,26599,Under Construction,20019,5
998,476,39566,Under Construction,20019,5
766,294,24438,Under Construction,20019,5
1300,346,28760,Under Construction,20019,5
869,489,40646,Under Construction,20019,5
1045,469,38984,Under Construction,20019,5
981,459,38153,Under Construction,20019,5
901,354,29425,Under Construction,20019,5
817,471,39150,Under Construction,20019,5
875,471,39150,Under Construction,20019,5
864,283,23523,Under Construction,20019,5
1787,241,20032,Under Construction,20019,5
572,402,33415,Under Construction,20019,5
1004,398,33082,Under Construction,20019,5
680,441,36656,Under Construction,20019,5
1885,411,34163,Under Construction,20019,5
979,434,36075,Under Construction,20019,5
718,458,38069,Under Construction,20019,5
982,356,29591,Under Construction,20019,5
874,475,39482,Under Construction,20019,5
312,513,42641,Under Construction,20019,5
844,237,19700,Under Construction,20019,5
904,415,34495,Under Construction,20019,5
712,359,29841,Under Construction,20019,5
1083,535,44470,Under Construction,20019,5
1013,415,34495,Under Construction,20019,5
757,436,36241,Under Construction,20019,5
955,392,32584,Under Construction,20019,5
859,396,32916,Under Construction,20019,5
1638,170,14131,Under Construction,20019,5
810,463,38485,Under Construction,20019,5
1330,372,30921,Under Construction,20019,5
1811,607,50454,Under Construction,20019,5
954,267,22194,Under Construction,20019,5
677,354,29425,Under Construction,20019,5
895,279,23191,Under Construction,20019,5
933,300,24936,Under Construction,20019,5
940,287,23856,Under Construction,20019,5
922,282,23440,Under Construction,20019,5
1094,480,39898,Under Construction,20019,5
1859,221,18370,Under Construction,20019,5
764,308,25601,Under Construction,20019,5
764,458,38069,Under Construction,20019,5
724,331,27513,Under Construction,20019,5
1473,329,27347,Under Construction,20019,5
1359,184,15295,Under Construction,20019,5
3303,250,20780,Under Construction,20019,5
827,420,34911,Under Construction,20019,5
842,368,30589,Under Construction,20019,5
1605,358,29757,Under Construction,20019,5
973,498,41394,Under Construction,20019,5
1624,292,24272,Under Construction,20019,5
2587,423,35160,Under Construction,20019,5
744,383,31835,Under Construction,20019,5
800,400,33248,Under Construction,20019,5
915,361,30007,Under Construction,20019,5
657,495,41145,Under Construction,20019,5
912,258,21445,Under Construction,20019,5
1437,264,21944,Under Construction,20019,5
1267,355,29508,Under Construction,20019,5
2667,208,17289,Under Construction,20019,5
730,384,31919,Under Construction,20019,5
1485,401,33332,Under Construction,20019,5
742,404,33581,Under Construction,20019,5
837,406,33747,Under Construction,20019,5
1950,307,25518,Under Construction,20019,5
1579,221,18370,Under Construction,20019,5
636,456,37903,Under Construction,20019,5
955,392,32584,Under Construction,20019,5
959,604,50205,Under Construction,20019,5
1059,392,32584,Under Construction,20019,5
367,441,36656,Under Construction,20019,5
1167,556,46215,Under Construction,20019,5
2927,752,62507,Under Construction,20019,5
932,338,28095,Under Construction,20019,5
360,444,36906,Under Construction,20019,5
715,469,38984,Under Construction,20019,5
1078,308,25601,Under Construction,20019,5
2101,452,37571,Under Construction,20019,5
1592,393,32667,Under Construction,20019,5
729,384,31919,Under Construction,20019,5
928,408,33913,Under Construction,20019,5
1478,879,73063,Under Construction,20019,5
942,398,33082,Under Construction,20019,5
1125,462,38402,Under Construction,20019,5
1869,460,38236,Under Construction,20019,5
3288,973,80876,Under Construction,20019,5
447,527,43805,Under Construction,20019,5
816,567,47130,Under Construction,20019,5
706,510,42392,Under Construction,20019,5
1978,836,69489,Under Construction,20019,5
513,632,52532,Under Construction,20019,5
852,1065,88523,Under Construction,20019,5
1290,503,41810,Under Construction,20019,5
676,634,52699,Under Construction,20019,5
1793,755,62756,Under Construction,20019,5
1460,252,20947,Under Construction,20019,5
934,440,36573,Under Construction,20019,5
746,643,53447,Under Construction,20019,5
517,1369,113792,Under Construction,20019,5
445,859,71401,Under Construction,20019,5
571,680,56522,Under Construction,20019,5
649,773,64252,Under Construction,20019,5
730,907,75390,Under Construction,20019,5
631,529,43971,Under Construction,20019,5
833,704,58517,Under Construction,20019,5
445,552,45883,Under Construction,20019,5
440,498,41394,Under Construction,20019,5
565,690,57353,Under Construction,20019,5
499,457,37986,Under Construction,20019,5
1500,778,64668,Under Construction,20019,5
1460,678,56356,Under Construction,20019,5
711,682,56688,Under Construction,20019,5
747,686,57021,Under Construction,20019,5
1135,543,45135,Under Construction,20019,5
1029,460,38236,Under Construction,20019,5
749,621,51618,Under Construction,20019,5
1081,608,50537,Under Construction,20019,5
588,489,40646,Under Construction,20019,5
925,504,41893,Under Construction,20019,5
662,172,14297,Under Construction,20019,5
689,776,64502,Under Construction,20019,5
711,483,40147,Under Construction,20019,5
677,548,45550,Under Construction,20019,5
687,480,39898,Under Construction,20019,5
2050,624,51867,Under Construction,20019,5
1180,487,40480,Under Construction,20019,5
809,588,48875,Under Construction,20019,5
585,639,53114,Under Construction,20019,5
587,893,74227,Under Construction,20019,5
1121,697,57935,Under Construction,20019,5
1000,397,32999,Under Construction,20019,5
746,222,18453,Under Construction,20019,5
1068,475,39482,Under Construction,20019,5
526,625,51950,Ready,20019,5
653,877,72897,Ready,20019,5
3968,426,35410,Ready,20019,5
1406,751,62424,Ready,20019,5
843,587,48792,Ready,20019,5
600,546,45384,Ready,20019,5
788,508,42225,Ready,20019,5
1063,440,36573,Ready,20019,5
590,868,72149,Ready,20019,5
592,449,37321,Ready,20019,5
1115,691,57436,Ready,20019,5
1410,470,39067,Ready,20019,5
580,599,49789,Ready,20019,5
768,447,37155,Ready,20019,5
654,409,33997,Ready,20019,5
679,289,24022,Ready,20019,5
517,520,43223,Ready,20019,5
628,671,55774,Ready,20019,5
700,439,36490,Ready,20019,5
836,398,33082,Ready,20019,5
483,548,45550,Ready,20019,5
1270,566,47046,Ready,20019,5
480,735,61094,Ready,20019,5
643,345,28677,Ready,20019,5
1493,685,56938,Ready,20019,5
894,457,37986,Ready,20019,5
547,571,47462,Ready,20019,5
767,679,56439,Ready,20019,5
865,608,50537,Ready,20019,5
1000,738,61343,Ready,20019,5
517,631,52449,Ready,20019,5
1095,511,42475,Ready,20019,5
581,686,57021,Ready,20019,5
1535,531,44137,Ready,20019,5
809,588,48875,Ready,20019,5
688,616,51202,Ready,20019,5
903,731,60761,Ready,20019,5
660,374,31087,Ready,20019,5
802,596,49540,Ready,20019,5
413,474,39399,Ready,20019,5
605,463,38485,Ready,20019,5
641,452,37571,Ready,20019,5
1395,680,56522,Ready,20019,5
750,748,62174,Ready,20019,5
809,718,59681,Ready,20019,5
500,689,57270,Ready,20019,5
931,447,37155,Ready,20019,5
1020,648,53862,Ready,20019,5
516,636,52865,Ready,20019,5
787,974,80959,Ready,20019,5
834,689,57270,Ready,20019,5
646,432,35908,Ready,20019,5
648,529,43971,Ready,20019,5
306,238,19783,Ready,20019,5
580,893,74227,Ready,20019,5
1826,570,47379,Ready,20019,5
856,713,59265,Ready,20019,5
1030,479,39815,Ready,20019,5
1154,839,69738,Ready,20019,5
660,1233,102487,Ready,20019,5
527,765,63587,Ready,20019,5
869,885,73562,Ready,20019,5
869,575,47794,Ready,20019,5
827,581,48293,Ready,20019,5
532,1044,86778,Ready,20019,5
555,465,38651,Ready,20019,5
699,856,71151,Ready,20019,5
904,773,64252,Ready,20019,5
970,2500,207800,Ready,20019,5
970,1015,84367,Ready,20019,5
727,860,71484,Ready,20019,5
539,963,80045,Ready,20019,5
829,995,82705,Ready,20019,5
2206,768,63837,Ready,20019,5
732,990,82289,Ready,20019,5
866,1039,86362,Ready,20019,5
1516,1186,98581,Ready,20019,5
1248,841,69904,Ready,20019,5
986,862,71650,Ready,20019,5
653,1217,101158,Ready,20019,5
1270,941,78216,Ready,20019,5
1460,925,76886,Ready,20019,5
1238,1413,117449,Ready,20019,5
1408,1634,135819,Ready,20019,5
2175,667,55442,Ready,20019,5
2290,1037,86196,Ready,20019,5
1358,1619,134572,Ready,20019,5
843,1062,88274,Ready,20019,5
1637,886,73645,Ready,20019,5
896,876,72814,Ready,20019,5
2065,1308,108721,Ready,20019,5
551,1134,94259,Ready,20019,5
882,1076,89438,Ready,20019,5
485,1289,107142,Ready,20019,5
427,1054,87609,Ready,20019,5
1080,1097,91183,Ready,20019,5
1034,927,77053,Ready,20019,5
825,927,77053,Ready,20019,5
828,905,75224,Ready,20019,5
1068,1215,100991,Ready,20019,5
655,1107,92014,Ready,20019,5
650,1115,92679,Ready,20019,5
1645,1213,100825,Ready,20019,5
600,1100,91432,Ready,20019,5
1275,1098,91266,Ready,20019,5
1102,1015,84367,Ready,20019,5
1023,1271,105646,Ready,20019,5
1100,1077,89521,Ready,20019,5
1505,1096,91100,Ready,20019,5
1374,797,66247,Ready,20019,5
1128,1100,91432,Ready,20019,5
1493,737,61260,Ready,20019,5
868,1066,88606,Ready,20019,5
1413,919,76388,Ready,20019,5
1131,880,73146,Ready,20019,5
1479,1011,84035,Ready,20019,5
760,1183,98331,Ready,20019,5
1309,1066,88606,Ready,20019,5
1850,754,62673,Ready,20019,5
1792,1054,87609,Ready,20019,5
1571,859,71401,Ready,20019,5
941,923,76720,Ready,20019,5
1237,614,51036,Ready,20019,5
1079,1108,92097,Ready,20019,5
1284,1246,103568,Ready,20019,5
1538,647,53779,Ready,20019,5
2039,1175,97666,Ready,20019,5
2300,1128,93760,Ready,20019,5
968,1235,102654,Ready,20019,5
738,676,56190,Ready,20019,5
851,1055,87692,Ready,20019,5
500,1040,86445,Ready,20019,5
1202,914,75972,Ready,20019,5
1600,1122,93261,Ready,20019,5
1405,853,70902,Ready,20019,5
1023,508,42225,Ready,20019,5
1311,645,53613,Ready,20019,5
1658,1806,150115,Ready,20019,5
846,1022,84949,Ready,20019,5
1086,1169,97168,Ready,20019,5
1192,1174,97583,Ready,20019,5
1102,1015,84367,Ready,20019,5
1353,1401,116452,Ready,20019,5
568,1144,95090,Ready,20019,5
1951,1922,159757,Ready,20019,5
1370,872,72481,Ready,20019,5
598,911,75723,Ready,20019,5
1875,853,70902,Ready,20019,5
1101,997,82871,Ready,20019,5
1378,725,60262,Ready,20019,5
1050,809,67245,Ready,20019,5
828,1001,83204,Ready,20019,5
719,1014,84284,Ready,20019,5
1317,1135,94342,Ready,20019,5
1415,1127,93677,Ready,20019,5
1795,766,63670,Ready,20019,5
1062,800,66496,Ready,20019,5
1762,1075,89354,Ready,20019,5
1378,942,78300,Ready,20019,5
934,1017,84534,Ready,20019,5
837,656,54527,Ready,20019,5
863,1042,86612,Ready,20019,5
1903,1469,122104,Ready,20019,5
1100,1135,94342,Ready,20019,5
754,557,46298,Ready,20019,5
1652,1059,88025,Ready,20019,5
1262,1581,131413,Ready,20019,5
1873,745,61925,Ready,20019,5
1451,951,79048,Ready,20019,5
2145,1025,85198,Ready,20019,5
1029,960,79796,Ready,20019,5
1730,1731,143881,Ready,20019,5
1551,806,66995,Ready,20019,5
1521,983,81707,Ready,20019,5
825,1194,99246,Ready,20019,5
1347,961,79879,Ready,20019,5
1060,942,78300,Ready,20019,5
475,1000,83120,Ready,20019,5
1350,652,54195,Ready,20019,5
1271,628,52200,Ready,20019,5
1220,647,53779,Ready,20019,5
1223,470,39067,Ready,20019,5
1457,635,52782,Ready,20019,5
498,1122,93261,Ready,20019,5
1563,691,57436,Ready,20019,5
1048,638,53031,Ready,20019,5
1292,580,48210,Ready,20019,5
817,728,60512,Ready,20019,5
1214,659,54777,Ready,20019,5
918,599,49789,Ready,20019,5
736,1084,90103,Ready,20019,5
913,766,63670,Ready,20019,5
925,918,76305,Ready,20019,5
1218,562,46714,Ready,20019,5
903,631,52449,Ready,20019,5
1060,613,50953,Ready,20019,5
971,747,62091,Ready,20019,5
1104,723,60096,Ready,20019,5
1296,886,73645,Ready,20019,5
1529,646,53696,Ready,20019,5
1096,671,55774,Ready,20019,5
2506,558,46381,Ready,20019,5
482,828,68824,Ready,20019,5
1138,571,47462,Ready,20019,5
1296,926,76970,Ready,20019,5
1097,683,56771,Ready,20019,5
831,680,56522,Ready,20019,5
1245,643,53447,Ready,20019,5
1187,674,56023,Ready,20019,5
1581,695,57769,Ready,20019,5
1056,567,47130,Ready,20019,5
1242,563,46797,Ready,20019,5
632,649,53945,Ready,20019,5
1490,496,41228,Ready,20019,5
902,786,65333,Ready,20019,5
1119,759,63089,Ready,20019,5
1067,759,63089,Ready,20019,5
1067,759,63089,Ready,20019,5
1138,671,55774,Ready,20019,5
1067,757,62922,Ready,20019,5
938,761,63255,Ready,20019,5
1067,757,62922,Ready,20019,5
1295,727,60429,Ready,20019,5
1067,740,61509,Ready,20019,5
1093,695,57769,Ready,20019,5
922,732,60844,Ready,20019,5
1071,838,69655,Ready,20019,5
1420,560,46548,Ready,20019,5
1066,655,54444,Ready,20019,5
700,1143,95007,Ready,20019,5
988,618,51369,Ready,20019,5
1267,710,59016,Ready,20019,5
1034,715,59431,Ready,20019,5
1291,788,65499,Ready,20019,5
1690,736,61177,Ready,20019,5
955,576,47878,Ready,20019,5
2099,614,51036,Ready,20019,5
1422,752,62507,Ready,20019,5
1099,545,45301,Ready,20019,5
798,645,53613,Ready,20019,5
959,626,52034,Ready,20019,5
1252,543,45135,Ready,20019,5
1223,397,32999,Ready,20019,5
1223,442,36740,Ready,20019,5
2029,695,57769,Ready,20019,5
1067,655,54444,Ready,20019,5
813,711,59099,Ready,20019,5
920,685,56938,Ready,20019,5
1855,646,53696,Ready,20019,5
1317,606,50371,Ready,20019,5
777,579,48127,Ready,20019,5
667,719,59764,Ready,20019,5
990,696,57852,Ready,20019,5
1156,605,50288,Ready,20019,5
1127,788,65499,Ready,20019,5
1178,573,47628,Ready,20019,5
1250,640,53197,Ready,20019,5
903,554,46049,Ready,20019,5
1296,871,72398,Ready,20019,5
1138,671,55774,Ready,20019,5
1056,596,49540,Ready,20019,5
1116,650,54028,Ready,20019,5
1067,655,54444,Ready,20019,5
1193,654,54361,Ready,20019,5
1359,736,61177,Ready,20019,5
1223,458,38069,Ready,20019,5
2154,650,54028,Ready,20019,5
1539,715,59431,Ready,20019,5
798,620,51535,Ready,20019,5
1138,710,59016,Ready,20019,5
1099,609,50621,Ready,20019,5
1491,938,77967,Ready,20019,5
1313,918,76305,Ready,20019,5
1345,941,78216,Ready,20019,5
468,983,81707,Ready,20019,5
1313,1027,85365,Ready,20019,5
700,1197,99495,Ready,20019,5
810,660,54860,Ready,20019,5
710,634,52699,Ready,20019,5
1187,716,59514,Ready,20019,5
1049,763,63421,Ready,20019,5
1580,633,52615,Ready,20019,5
1173,680,56522,Ready,2015,5
1307,581,48293,Ready,2015,5
1002,749,62257,Ready,2015,5
1173,639,53114,Ready,2015,5
1676,716,59514,Ready,2015,5
1196,857,71234,Ready,2015,5
1601,667,55442,Ready,2015,5
1483,607,50454,Ready,2015,5
798,601,49956,Ready,2015,5
1777,611,50787,Ready,2015,5
894,654,54361,Ready,2015,5
810,592,49208,Ready,2015,5
1067,656,54527,Ready,2015,5
988,658,54693,Ready,2015,5
658,722,60013,Ready,2015,5
1275,744,61842,Ready,2015,5
720,243,20199,Ready,2015,5
1271,378,31420,Ready,2015,5
1374,211,17539,Ready,2015,5
1155,259,21529,Ready,2015,5
882,295,24521,Ready,2015,5
1180,280,23274,Ready,2015,5
814,498,41394,Ready,2015,5
1194,377,31337,Ready,2015,5
955,416,34578,Ready,2015,5
1023,283,23523,Ready,2015,5
1338,288,23939,Ready,2015,5
978,230,19118,Ready,2015,5
1694,271,22526,Ready,2015,5
1047,227,18869,Ready,2015,5
1073,191,15876,Ready,2015,5
1253,247,20531,Ready,2015,5
1398,349,29009,Ready,2015,5
943,292,24272,Ready,2015,5
3980,2260,187852,Ready,2015,5
1091,234,19451,Ready,2015,5
874,469,38984,Ready,2015,5
1098,254,21113,Ready,2015,5
705,312,25934,Ready,2015,5
786,337,28012,Ready,2015,5
1074,216,17954,Ready,2015,5
959,248,20614,Ready,2015,5
752,313,26017,Ready,2015,5
1248,267,22194,Ready,2015,5
940,252,20947,Ready,2015,5
1234,243,20199,Ready,2015,5
